postcode,lat,lon
2620,-35.34,149.228
2620,-35.4404,149.2114
2620,-35.3855,149.1658
2620,-35.5167,149.0667
2620,-35.3422,149.2101
2620,-35.3129,149.3162
2611,-35.3613,149.057
2611,-35.2996,149.0207
2611,-35.3358,149.0593
2611,-35.3471,149.0379
2611,-35.353,149.0621
2611,-35.3497,149.0493
2611,-35.3333,149.05
2611,-35.3497,148.9986
2611,-35.3346,149.0319
2611,-35.3333,149.1833
2611,-35.3224,149.0346
2611,-35.3255,148.9993
2611,-35.3562,149.0374
2611,-35.3344,149.0461
2611,-35.2947,148.9256
2611,-35.2794,148.9194
2611,-35.3163,149.0394
2600,-35.307,149.139
2600,-35.2835,149.1281
2600,-35.3018,149.1304
2600,-35.2977,149.151
2600,-35.2998,149.1058
2600,-35.3049,149.1412
2600,-35.3193,149.1031
2600,-35.3,149.1667
2600,-35.35,149.2
2600,-35.3066,149.1246
2601,-35.2813,149.1293
2601,-35.2777,149.1183
2601,-35.2808,149.1252
2601,-35.2835,149.1281
2602,-35.2495,149.1635
2602,-35.2488,149.141
2602,-35.2381,149.1527
2602,-35.2446,149.1447
2602,-35.2564,149.1125
2602,-35.2625,149.1437
2602,-35.2398,149.1307
2602,-35.2508,149.1393
2603,-35.315,149.1286
2603,-35.3262,149.1191
2603,-35.3222,149.1283
2603,-35.3253,149.1371
2604,-35.3357,149.1492
2604,-35.3151,149.1512
2604,-35.3152,149.1466
2605,-35.3421,149.1085
2605,-35.3246,149.0776
2605,-35.3327,149.0949
2606,-35.3406,149.074
2606,-35.3534,149.0768
2606,-35.3503,149.0915
2606,-35.3525,149.1128
2606,-35.3492,149.0888
2607,-35.3634,149.0986
2607,-35.3686,149.1156
2607,-35.3622,149.0834
2607,-35.3767,149.105
2607,-35.372,149.0877
2608,-35.312,149.1294
2609,-35.3179,149.1832
2609,-35.2667,149.2
2609,-35.3333,149.1667
2609,-35.3201,149.207
2609,-35.3516,149.1592
2610,-35.27,149.0452
2612,-35.2858,149.1391
2612,-35.2688,149.1247
2612,-35.2708,149.1357
2612,-35.2891,149.1538
2614,-35.2386,149.0499
2614,-35.25,149.05
2614,-35.2601,149.0657
2614,-35.2582,149.0804
2614,-35.2486,149.055
2614,-35.2471,149.0367
2614,-35.2346,149.039
2614,-35.2513,149.0636
2615,-35.21,149.0357
2615,-35.2244,149.0119
2615,-35.2324,149.0272
2615,-35.1917,149.0453
2615,-35.2059,149.0439
2615,-35.2002,149.0341
2615,-35.2259,149.05
2615,-35.194,149.0198
2615,-35.2165,149.0314
